5001	-1160.0
5002	-1177.0
5003	-1181.0
5004	-1187.0
5005	-1203.0
5006	-1192.0
5007	-1165.0
5008	-1164.0
5009	-1088.0
5010	-1072.0
5011	-1024.0
5012	-1006.0
5013	-972.4
5014	-934.0
5015	-924.9
5016	-968.5
5017	-963.7
5018	-956.2
5019	-947.6
5020	-990.5
5021	-1025.0
5022	-1011.0
5023	-969.1
5024	-1002.0
5025	-1035.0
5026	-1014.0
5027	-1027.0
5028	-1002.0
5029	-1022.0
5030	-1008.0
5031	-999.8
5032	-1047.0
5033	-1067.0
5034	-1029.0
5035	-1009.0
5036	-1017.0
5037	-1031.0
5038	-1017.0
5039	-969.0
5040	-950.5
5041	-890.0
5042	-933.7
5043	-856.3
5044	-854.0
5045	-895.5
5046	-950.6
5047	-945.3
5048	-995.5
5049	-1034.0
5050	-974.3
5051	-946.7
5052	-958.8
5053	-999.1
5054	-951.5
5055	-954.5
5056	-977.0
5057	-1019.0
5058	-1027.0
5059	-1013.0
5060	-991.4
5061	-984.7
5062	-974.9
5063	-989.2
5064	-984.5
5065	-986.6
5066	-990.4
5067	-986.2
5068	-955.3
5069	-926.9
5070	-907.1
5071	-903.1
5072	-903.0
5073	-927.2
5074	-946.3
5075	-903.9
5076	-907.0
5077	-939.0
5078	-973.3
5079	-975.9
5080	-946.9
5081	-901.7
5082	-901.5
5083	-919.0
5084	-921.3
5085	-946.7
5086	-979.1
5087	-985.1
5088	-989.1
5089	-952.6
5090	-907.1
5091	-889.5
5092	-884.8
5093	-894.7
5094	-902.2
5095	-941.0
5096	-954.5
5097	-953.6
5098	-887.9
5099	-856.9
5100	-847.9
5101	-876.3
5102	-893.7
5103	-898.7
5104	-891.5
5105	-884.6
5106	-894.4
5107	-876.2
5108	-870.1
5109	-812.3
5110	-799.0
5111	-761.8
5112	-711.3
5113	-730.7
5114	-759.3
5115	-762.2
5116	-783.0
5117	-771.3
5118	-757.0
5119	-755.8
5120	-795.6
5121	-799.0
5122	-821.3
5123	-822.2
5124	-806.8
5125	-842.7
5126	-845.9
5127	-870.1
5128	-860.9
5129	-830.4
5130	-835.8
5131	-817.6
5132	-815.1
5133	-788.0
5134	-837.0
5135	-788.8
5136	-802.4
5137	-832.3
5138	-822.4
5139	-817.8
5140	-798.9
5141	-783.6
5142	-756.6
5143	-780.0
5144	-788.5
5145	-824.6
5146	-778.1
5147	-800.5
5148	-799.9
5149	-799.7
5150	-838.2
5151	-800.3
5152	-835.3
5153	-835.5
5154	-812.1
5155	-814.9
5156	-836.1
5157	-814.5
5158	-790.2
5159	-827.8
5160	-829.3
5161	-816.1
5162	-745.5
5163	-748.6
5164	-764.1
5165	-793.9
5166	-828.1
5167	-807.7
5168	-839.2
